city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Berlin,52.5200,13.4050,Germany,DE,Berlin,primary,4890363,3755251
Stuttgart,48.7775,9.1800,Germany,DE,Baden-Württemberg,admin,2787724,632865
Munich,48.1375,11.5750,Germany,DE,Bavaria,admin,2606021,1512491
Hamburg,53.5500,10.0000,Germany,DE,Hamburg,admin,2484800,1892122
Cologne,50.9364,6.9528,Germany,DE,North Rhine-Westphalia,,1084831,1084831
Frankfurt,50.1106,8.6822,Germany,DE,Hesse,minor,773068,773068
Düsseldorf,51.2333,6.7833,Germany,DE,North Rhine-Westphalia,admin,629047,629047
Leipzig,51.3400,12.3750,Germany,DE,Saxony,minor,616093,616093
Dortmund,51.5139,7.4653,Germany,DE,North Rhine-Westphalia,minor,593317,593317
Essen,51.4508,7.0131,Germany,DE,North Rhine-Westphalia,minor,584580,584580
Bremen,53.0758,8.8072,Germany,DE,Bremen,admin,569396,569396
Dresden,51.0500,13.7400,Germany,DE,Saxony,admin,563311,563311
Hannover,52.3667,9.7167,Germany,DE,Lower Saxony,admin,545045,545045
Nuremberg,49.4539,11.0775,Germany,DE,Bavaria,minor,523026,523026
Duisburg,51.4347,6.7625,Germany,DE,North Rhine-Westphalia,minor,502211,502211
Bochum,51.4819,7.2158,Germany,DE,North Rhine-Westphalia,minor,365742,365742
Wuppertal,51.2667,7.1833,Germany,DE,North Rhine-Westphalia,minor,358876,358876
Bielefeld,52.0211,8.5347,Germany,DE,North Rhine-Westphalia,minor,338332,338332
Bonn,50.7333,7.1000,Germany,DE,North Rhine-Westphalia,minor,336465,336465
Münster,51.9625,7.6256,Germany,DE,North Rhine-Westphalia,minor,320946,320946
Mannheim,49.4878,8.4661,Germany,DE,Baden-Württemberg,minor,315554,315554
Karlsruhe,49.0092,8.4040,Germany,DE,Baden-Württemberg,minor,308707,308707
Augsburg,48.3689,10.8978,Germany,DE,Bavaria,minor,301033,301033
Wiesbaden,50.0825,8.2400,Germany,DE,Hesse,admin,283083,283083
Mönchengladbach,51.2000,6.4333,Germany,DE,North Rhine-Westphalia,minor,268465,268465
Gelsenkirchen,51.5167,7.1000,Germany,DE,North Rhine-Westphalia,minor,263000,263000
Aachen,50.7756,6.0836,Germany,DE,North Rhine-Westphalia,minor,252136,252136
Braunschweig,52.2667,10.5167,Germany,DE,Lower Saxony,minor,251804,251804
Chemnitz,50.8333,12.9167,Germany,DE,Saxony,minor,248563,248563
Kiel,54.3233,10.1394,Germany,DE,Schleswig-Holstein,admin,247717,247717
Halle,51.4828,11.9697,Germany,DE,Saxony-Anhalt,minor,242083,242083
Magdeburg,52.1317,11.6392,Germany,DE,Saxony-Anhalt,admin,239364,239364
Freiburg im Breisgau,47.9950,7.8500,Germany,DE,Baden-Württemberg,minor,236140,236140
