flaeche_km2,pop_insgesamt,pop_maennlich,pop_weiblich,pop_density,stadt_name
891.12,3782202,1860115,1922087,4244,Berlin
755.09,1910160,936740,973420,2530,Hamburg
310.7,1510378,734925,775453,4861,München
405.02,1087353,527728,559625,2685,Köln
248.31,775790,382226,393564,3124,Frankfurt am Main
207.33,633484,316030,317454,3055,Stuttgart
217.41,631217,304616,326601,2903,Düsseldorf
297.8,619879,305443,314436,2082,Leipzig
280.71,595471,292178,303293,2121,Dortmund
210.34,586608,285411,301197,2789,Essen
318.2,577026,285270,291756,1813,Bremen
328.48,566222,281215,285007,1724,Dresden
204.3,548186,268214,279972,2683,Hannover
186.44,526091,257320,268771,2822,Nürnberg
232.84,503707,249120,254587,2163,Duisburg
145.66,366385,178896,187489,2515,Bochum
168.39,358938,176056,182882,2132,Wuppertal
258.83,338410,163288,175122,1307,Bielefeld
141.06,335789,160546,175243,2380,Bonn
303.28,322904,155052,167852,1065,Münster
144.97,316877,158281,158596,2186,Mannheim
173.42,309964,158520,151444,1787,Karlsruhe
146.85,303150,149531,153619,2064,Augsburg
203.87,285522,136598,148924,1401,Wiesbaden
170.47,268943,133625,135318,1578,Mönchengladbach
104.94,265885,132249,133636,2534,Gelsenkirchen
160.85,252769,132027,120742,1571,Aachen
192.7,252066,124898,127168,1308,Braunschweig
221.03,250681,123838,126843,1134,Chemnitz
118.65,248873,120699,128174,2098,Kiel
135.56,242172,117365,124807,1786,Halle (Saale)
201.68,240114,118654,121460,1191,Magdeburg
153.04,237244,112660,124584,1550,Freiburg im Breisgau
137.77,228550,111419,117131,1659,Krefeld
97.73,222889,108873,114016,2281,Mainz
214.19,219044,105259,113785,1023,Lübeck
269.91,215675,104791,110884,799,Erfurt
77.09,211099,103059,108040,2738,Oberhausen
181.36,210795,103349,107446,1162,Rostock
106.79,204687,100203,104484,1917,Kassel
160.45,190490,93469,97021,1187,Hagen
188.24,187119,90107,97012,994,Potsdam
167.52,183509,91475,92034,1095,Saarbrücken
226.66,180761,89286,91475,797,Hamm
77.43,176110,88552,87558,2274,Ludwigshafen am Rhein
103.09,174629,83608,91021,1694,Oldenburg (Oldenburg)
91.28,173255,83637,89618,1898,Mülheim an der Ruhr
119.8,166960,80585,86375,1394,Osnabrück
78.87,166414,81121,85293,2110,Leverkusen
122.07,164792,84206,80586,1350,Darmstadt
108.83,162960,77929,85031,1497,Heidelberg
89.54,161545,78754,82791,1804,Solingen
80.86,159465,78024,81441,1972,Regensburg
51.42,157896,77401,80495,3071,Herne
179.59,155749,77843,77906,867,Paderborn
99.52,155163,75336,79827,1559,Neuss
133.35,142308,72076,70232,1067,Ingolstadt
44.88,135490,67279,68211,3019,Offenbach am Main
63.35,132032,64793,67239,2084,Fürth
99.89,130093,65794,64299,1302,Heilbronn
118.68,129942,64384,65558,1095,Ulm
97.99,128992,63717,65275,1316,Pforzheim
87.6,128246,61560,66686,1464,Würzburg
204.62,127256,63352,63904,622,Wolfsburg
117.02,120261,58433,61828,1028,Göttingen
100.61,118705,57841,60864,1180,Bottrop
87.04,118528,58803,59725,1362,Reutlingen
76.96,117806,58694,59112,1531,Erlangen
105.25,115298,56682,58616,1095,Koblenz
101.41,114677,56716,57961,1131,Bremerhaven
74.52,112970,56058,56912,1516,Remscheid
117.06,112737,55783,56954,963,Trier
83.09,112660,53929,58731,1356,Bergisch Gladbach
66.5,111693,54223,57470,1680,Recklinghausen
114.77,110791,55060,55731,965,Jena
67.64,105606,51248,54358,1561,Moers
224.49,105039,52386,52653,468,Salzgitter
76.28,103184,50927,52257,1353,Hanau
112.02,102464,50733,51731,915,Gütersloh
92.29,102325,48866,53459,1109,Hildesheim
114.69,102114,50110,52004,890,Siegen
139.7,101486,51241,50245,726,Kaiserslautern
165.61,100010,48883,51127,604,Cottbus/Chóśebuz
130.52,98733,47339,51394,756,Schwerin
46.43,95881,48521,47360,2065,Esslingen am Neckar
72.4,95724,46540,49184,1322,Witten
72.61,94996,46730,48266,1308,Gießen
43.34,94859,46775,48084,2189,Ludwigsburg
152.18,94847,45922,48925,623,Gera
108.07,93615,44250,49365,866,Tübingen
85.01,93323,46221,47102,1098,Düren
56.73,92667,45905,46762,1633,Flensburg
125.49,92404,45063,47341,736,Iserlohn
165.53,89145,43827,45318,539,Villingen-Schwenningen
102.58,87593,42936,44657,854,Zwickau
88.74,87513,42309,45204,986,Ratingen
59.39,87266,42512,44754,1469,Lünen
54.12,85770,40910,44860,1585,Konstanz
108.73,85609,42650,42959,787,Worms
87.76,85001,41621,43380,969,Marl
101.12,83100,40938,42162,822,Minden
58.1,82719,40260,42459,1424,Norderstedt
74.9,82462,40423,42039,1101,Velbert
54.62,80580,39589,40991,1475,Bamberg
71.66,80185,39772,40413,1119,Neumünster
245.78,79686,38528,41158,324,Dessau-Roßlau
